code,name,price,volume
1488,DAIWA ASSET MANAGEMENT IFREEETF,2026,87943
1514,SUMISEKI HOLDINGS INC,1051,5129400
1515,NITTETSU MINING CO,2846,1236700
1518,MITSUI MATSUSHIMA HOLDINGS CO L,1392,220400
1475,BLACKROCK JAPAN CO LTD ISHARES ,370.4,5506720
1497,BLACKROCK JAPAN CO LTD USD HIGH,1765,11757
1541,MITSUBISHI UFJ TRUST & BANKING ,9659,84248
1499,MITSUBISHI UFJ ASSET MANAGEMENT,9370,18
1551,SIMPLEX ASSET MANAGEMENT CO LTD,6914,470
1545,NOMURA ASSET MANAGEMENT CO LTD ,39480,18581
1550,MITSUBISHI UFJ ASSET MANAGEMENT,7198,1742
1546,NOMURA ASSET MANAGEMENT CO LTD ,72780,1421
1555,AMOVA ASSET MANAGEMENT CO LTD L,2290,4299
1547,AMOVA ASSET MANAGEMENT CO LTD L,11510,18556
1559,NOMURA ASSET MANAGEMENT CO LTD ,4179,870
1560,NOMURA ASSET MANAGEMENT CO LTD ,6758,567
1540,MITSUBISHI UFJ TRUST & BANKING ,24040,450305
1557,STATE ST SPDR S&P 500 ETF TR S&,106150,6621
1543,MITSUBISHI UFJ TRUST & BANKING ,71600,1582
1566,AMOVA ASSET MANAGEMENT CO LTD L,53320,486
1542,MITSUBISHI UFJ TRUST & BANKING ,35750,197182
1570,NOMURA ASSET MANAGEMENT CO LTD ,48040,3638214
1568,SIMPLEX ASSET MANAGEMENT CO LTD,789,4483690
1569,SIMPLEX ASSET MANAGEMENT CO LTD,860.7,102730
1572,SIMPLEX ASSET MANAGEMENT CO LTD,7640,9110
1554,AMOVA ASSET MANAGEMENT CO LTD L,5979,2957
1563,SIMPLEX ASSET MANAGEMENT CO LTD,2449,7786
1578,AMOVA ASSET MANAGEMENT CO LTD N,4270,2366
1585,DAIWA ASSET MANAGEMENT IFREEETF,2439.5,250
1591,NOMURA ASSET MANAGEMENT CO LTD ,32810,1576
1580,SIMPLEX ASSET MANAGEMENT CO LTD,1021,251080
1586,AMOVA ASSET MANAGEMENT CO LTD L,2800,100
1579,SIMPLEX ASSET MANAGEMENT CO LTD,517.6,17373430
1592,AMOVA ASSET MANAGEMENT CO LTD L,3001,4666
1571,NOMURA ASSET MANAGEMENT CO LTD ,385,2699568
1596,NORINCHUKIN ZENKYOREN AM CO LTD,2808,300
1595,NORINCHUKIN ZENKYOREN AM CO LTD,2019,50555
1597,MITSUBISHI UFJ ASSET MANAGEMENT,2014,99780
1577,NOMURA ASSET MANAGEMENT CO LTD ,52440,4335
1599,DAIWA ASSET MANAGEMENT IFREEETF,33360,574
1605,INPEX CORPORATION,4370,10523800
1618,NOMURA ASSET MANAGEMENT CO LTD ,38300,3047
1593,MITSUBISHI UFJ ASSET MANAGEMENT,33700,3114
1619,NOMURA ASSET MANAGEMENT CO LTD ,46750,530
1617,NOMURA ASSET MANAGEMENT CO LTD ,44030,199
1624,NOMURA ASSET MANAGEMENT CO LTD ,87300,307
1622,NOMURA ASSET MANAGEMENT CO LTD ,35160,794
1626,NOMURA ASSET MANAGEMENT CO LTD ,38330,547
1627,NOMURA ASSET MANAGEMENT CO LTD ,12200,2347
1623,NOMURA ASSET MANAGEMENT CO LTD ,62080,3268
1625,NOMURA ASSET MANAGEMENT CO LTD ,50730,262
1615,NOMURA ASSET MANAGEMENT CO LTD ,566,5367700
1628,NOMURA ASSET MANAGEMENT CO LTD ,21255,197
1620,NOMURA ASSET MANAGEMENT CO LTD ,34700,203
1630,NOMURA ASSET MANAGEMENT CO LTD ,36940,167
1621,NOMURA ASSET MANAGEMENT CO LTD ,31850,335
1633,NOMURA ASSET MANAGEMENT CO LTD ,58400,395
1632,NOMURA ASSET MANAGEMENT CO LTD ,34780,537
1654,DAIWA ASSET MANAGEMENT IFREEETF,2975.5,380
1573,SIMPLEX ASSET MANAGEMENT CO LTD,8171,1210
1652,DAIWA ASSET MANAGEMENT IFREEETF,4170,20
1655,BLACKROCK JAPAN CO LTD ISHARES ,764.8,1516700
1656,BLACKROCK JAPAN CO LTD ISHARES ,320.7,114840
1657,BLACKROCK JAPAN CO LTD ISHARES ,6432,1940
1659,BLACKROCK JAPAN CO LTD ISHARES ,3621,10650
1660,MITSUBISHI UFJ ASSET MANAGEMENT,11535,9139
1631,NOMURA ASSET MANAGEMENT CO LTD ,30240,3206
1662,JAPAN PETROLEUM EXPLORATION CO ,2562,4130600
1663,K&O ENERGY GROUP INC,5390,296400
1671,SIMPLEX ASSET MANAGEMENT CO LTD,5197,2839796
1672,WISDOMTREE METAL SECURITIES PHY,74420,1103
1673,WISDOMTREE METAL SECURITIES PHY,11660,24110
1675,WISDOMTREE METAL SECURITIES PHY,22815,801
1674,WISDOMTREE METAL SECURITIES PHY,29940,3201
1677,AMOVA ASSET MANAGEMENT CO LTD L,60260,180
1679,SIMPLEX ASSET MANAGEMENT CO LTD,60900,10
1678,NOMURA ASSET MANAGEMENT CO LTD ,313,1182590
1680,AMOVA ASSET MANAGEMENT CO LTD L,7322,285
1629,NOMURA ASSET MANAGEMENT CO LTD ,136800,1728
1681,AMOVA ASSET MANAGEMENT CO LTD L,2888,6393
1684,WISDOMTREE COMMODITY SECURITIES,2580,520
1685,WISDOMTREE COMMODITY SECURITIES,805,43980
1687,WISDOMTREE COMMODITY SECURITIES,1015.5,70330
1676,WISDOMTREE METAL SECURITIES PHY,50440,161
1688,WISDOMTREE COMMODITY SECURITIES,582.2,297290
1651,DAIWA ASSET MANAGEMENT IFREEETF,2901,20105
1653,DAIWA ASSET MANAGEMENT IFREEETF,4585,1180
1686,WISDOMTREE COMMODITY SECURITIES,2944.5,130
1689,WISDOMTREE COMMODITY SECURITIES,983,312244
1690,WISDOMTREE COMMODITY SECURITIES,2334,123940
1692,WISDOMTREE COMMODITY SECURITIES,730.5,33200
1658,BLACKROCK JAPAN CO LTD ISHARES ,3795,8885
1693,WISDOMTREE COMMODITY SECURITIES,7984,24630
1691,WISDOMTREE COMMODITY SECURITIES,12415,6011
1717,MEIHO FACILITY WORKS,1042,24000
1697,WISDOMTREE COMMODITY SECURITIES,4650,8880
1699,NOMURA ASSET MANAGEMENT CO LTD ,615.7,9862860
1721,COMSYS HOLDINGS CORP,5340,380700
1694,WISDOMTREE COMMODITY SECURITIES,2442,970
1723,NIHON DENGI CO,10180,78900
1724,SYNCLAYER INC,708,4500
1718,MIKIKOGYO CO LTD,7830,1800
1711,SDS HOLDINGS CO LTD,296,152200
1736,OTEC CORP,2427,3400
1758,TAIYO KISOKOGYO CO,2570,19000
1719,HAZAMA ANDO CORP,1914.5,477900
1698,AMOVA ASSET MANAGEMENT CO LTD L,3989,4913
1762,TAKAMATSU CONSTRUCTION GROUP CO,3610,76800
1720,TOKYU CONSTRUCTION CO(NEW),1463,319300
1764,KUDO CORP,3225,1000
1726,BR. HOLDINGS CORPORATION,529,182700
1766,TOKEN CORPORATION,13440,45700
1768,SONEC CORP,1514,11600
1770,FUJITA ENGINEERING CO,1650,15300
1776,SUMIKEN MITSUI ROAD CO LTD,1996,87300
1780,YAMAURA CORP,1626,24600
1783,FANTASISTA CO LTD,63,725500
1795,MASARU CORPORATION,4585,800
1793,OHMOTO GUMI CO,1848,4000
1695,WISDOMTREE COMMODITY SECURITIES,3228,127180
1801,TAISEI CORP,16820,679800
1799,DAIICHI KENSETSU CORP,4020,27400
1802,OBAYASHI CORP,3820,1359100
1798,MORIYA CORPORATION,6640,29900
1803,SHIMIZU CORP,3011,4894200
1696,WISDOMTREE COMMODITY SECURITIES,3490,54317
1808,HASEKO CORPORATION,2986,660300
1716,DAI-ICHI CUTTER KOGYO KK,1548,14200
1788,SANTO CORPORATION,5300,1000
1811,ZENITAKA CORP,8540,1700
1813,FUDO TETRA CORP,3285,68900
1820,NISHIMATSU CONSTRUCTION CO,6012,65500
1807,WATANABE SATO CO LTD,2030,1700
1810,MATSUI CONSTRUCTION CO,1695,67500
1822,DAIHO CORPORATION,824,160100
1827,NAKANO CORPORATION,1462,65000
1826,SATA CONSTRUCTION CO,1215,12500
1833,OKUMURA CORP,6520,84600
1812,KAJIMA CORP,6047,2078200
1773,YTL CORP,67,12000
1841,SANYU CONSTRUCTION CO,1585,3200
1840,TSUCHIYA HLDG,231,36100
1844,OHMORI CO LTD,639,522400
1814,DAISUE CONSTRUCTION CO,3870,90600
1815,TEKKEN CORP,4435,84700
1847,ICHIKEN CO LTD,5870,46900
1786,ORIENTAL SHIRAISHI CORPORATION,392,359300
1828,TANABE ENGINEERING CORP,2712,6600
1835,TOTETSU KOGYO CO,5310,145500
1787,NAKABOHTEC CORROSION PROTECTING,6490,19800
1850,NANKAI TATSUMURA CONSTRUCTION C,515,35700
1852,ASANUMA CORP,1011,271800
1867,UEKI CORP,2995,11000
1866,KITANO CONSTRUCTION CORP,1354,14900
1861,KUMAGAI GUMI CO,1635,541900
1860,TODA CORP,1498.5,843000
1873,NIHON HOUSE HOLDINGS CO LTD,311,77200
1871,PS CONSTRUCTION CO LTD,2857,169700
1879,SHINNIHON CORP,1969,112100
1870,YAHAGI CONSTRUCTION CO,2147,115700
1878,DAITO TRUST CONSTRUCTION CO,3610,1039800
1885,TOA CORPORATION (CONST),3440,844900
1848,FUJI P.S CORPORATION,585,9600
1887,JDC CORPORATION,606,273300
1888,WAKACHIKU CONSTRUCTION CO,4270,24500
1893,PENTA OCEAN CONSTRUCTION,1796,1425200
1898,SEIKITOKYU KOGYO CO,1558,77000
1897,KANESHITA CONSTRUCTION CO,3355,2800
1899,FUKUDA CORP,7560,23000
1904,TAISEI ONCHO CO,5170,24600
1882,TOA ROAD CORPORATION,1765,236800
1909,NIPPON DRY-CHEMICAL CO LTD,12360,35000
1911,SUMITOMO FORESTRY CO,1446,3995600
1905,TENOX CORP,1494,4400
1914,JAPAN FOUNDATION ENGINEERING CO,707,37900
1921,TOMOE CORPORATION,2027,43900
1938,NIPPON RIETEC CO LTD,2640,88400
1930,HOKURIKU ELECTRICAL CONSTRUCTIO,1578,42100
1925,DAIWA HOUSE INDUSTRY CO,5192,1186200
1934,YURTEC CORPORATION,2637,98200
1928,SEKISUI HOUSE,3536,1421400
1926,RAITO KOGYO CO LTD,4040,226000
1941,CHUDENKO CORP,4620,63200
1942,KANDENKO CO LTD,6044,808600
1944,KINDEN CORPORATION,7387,665500
1949,SUMITOMO DENSETSU CO,9700,71200
1853,MORI-GUMI CO LTD,336,20100
1946,TOENEC CORP,2018,124600
1950,NIPPON DENSETSU KOGYO CO,4975,149300
1948,KODENSHA CO LTD,6550,20300
1951,EXEO GROUP INC,2707,442900
1939,YONDENKO CORP,1923,77000
1959,KRAFTIA CORPORATION,9574,312700
1945,TOKYO ENERGY & SYSTEMS INC,1784,188700
1960,SANYO ENGINEERING & CONS INC,1453,19300
1961,SANKI ENGINEERING CO,6610,107500
1966,TAKADA CORPORATION,1795,9200
1964,CHUGAI RO CO LTD,4470,27600
1963,JGC HOLDINGS CORPORATION,2063.5,1423800
1969,TAKASAGO THERMAL ENGINEERING CO,4670,677400
1972,SANKO METAL INDUSTRIAL CO,1362,98400
1975,ASAHI KOGYOSHA CO,3725,79100
1976,MEISEI INDUSTRIAL CO,1862,107300
1981,KYOWANISSEI CO LTD,1553,2400
1980,DAI-DAN CO LTD,2999,309600
1982,HIBIYA ENGINEERING,5780,64800
1992,KANDA TSUSHINKI CO,2850,500
1965,TECHNO RYOWA LTD,6580,96900
1967,YAMATO CORPORATION,2310,45900
1968,TAIHEI DENGYO KAISHA,2931,130600
1929,NITTOC CONSTRUCTION CO,1252,114700
2001,NIPPN CORPORATION,2740,216100
2003,NITTO FUJI FLOUR MILLING CO,7160,4500
1979,TAIKISHA LTD,3440,133700
2004,SHOWA SANGYO CO,3255,74500
2011,SUMITOMO MITSUI DS ASSET MGT CO,777.8,178000
2009,TORIGOE CO LTD (THE),1091,23200
2002,NISSHIN SEIFUN GROUP INC,2041.5,726300
2013,BLACKROCK JAPAN CO LTD ISHARES ,291.2,80570
2012,BLACKROCK JAPAN CO LTD ISHARES ,238.5,355690
1952,SHIN NIPPON AIR TECHNOLOGIES CO,3665,145600
2015,DAIWA ASSET MANAGEMENT IFREEETF,2199,702
2014,BLACKROCK JAPAN CO LTD ISHARES ,288,38930
2016,DAIWA ASSET MANAGEMENT IFREEETF,1830,7429
2017,DAIWA ASSET MANAGEMENT IFREEETF,1341,26580
2019,GLOBAL X JAPAN CO LTD US PREFER,1036,17041
2031,NOMURA EUROPE FINANCE N.V. NEXT,8425,503
2032,NOMURA EUROPE FINANCE N.V. NEXT,6110,244
2034,NOMURA EUROPE FINANCE N.V. NEXT,2920,4391
2036,NOMURA EUROPE FINANCE N.V. NEXT,235650,14422
2033,NOMURA EUROPE FINANCE N.V. NEXT,54140,1983
2018,GLOBAL X JAPAN CO LTD US REIT T,1223,44692
2038,NOMURA EUROPE FINANCE N.V. NEXT,2864,1751859
2039,NOMURA EUROPE FINANCE N.V. NEXT,555,1144161
2041,NOMURA EUROPE FINANCE N.V. NEXT,2200,8071
2042,NOMURA EUROPE FINANCE N.V. JDR ,7957,212
2044,NOMURA EUROPE FINANCE N.V. NEXT,33120,985
2043,NOMURA EUROPE FINANCE N.V. NEXT,27195,8
2045,NOMURA EUROPE FINANCE N.V. NEXT,19565,3
2047,NOMURA EUROPE FINANCE N.V. NEXT,3659,1324
2048,NOMURA EUROPE FINANCE N.V. NEXT,48140,9
1997,AKATSUKI EAZIMA CO LTD,4185,1400
2046,NOMURA EUROPE FINANCE N.V. NEXT,24705,4533
1994,TAKAHASHI CURTAIN WALL CORP,558,3400
2053,CHUBU SHIRYO CO,1791,43400
2055,NICHIWA SANGYO CO,378,11700
2040,NOMURA EUROPE FINANCE N.V. NEXT,32100,512
2065,NOMURA EUROPE FINANCE N.V. NEXT,52920,7
2066,NOMURA EUROPE FINANCE N.V. NEXT,25625,1
2069,NOMURA EUROPE FINANCE N.V. NEXT,20845,1
2067,NOMURA EUROPE FINANCE N.V. NEXT,25815,3
2050,NOMURA EUROPE FINANCE N.V. NEXT,29385,2
2070,MITSUBISHI UFJ SECURITIES CO LT,14250,2
2072,MITSUBISHI UFJ SECURITIES CO LT,18860,1
2071,MITSUBISHI UFJ SECURITIES CO LT,17635,394
2073,MITSUBISHI UFJ SECURITIES CO LT,14410,50
2080,SIMPLEX ASSET MANAGEMENT CO LTD,1706,29066
2081,SIMPLEX ASSET MANAGEMENT CO LTD,1825,513
2083,NOMURA ASSET MANAGEMENT CO LTD ,3070,4572
2084,NOMURA ASSET MANAGEMENT CO LTD ,3315,14526
2082,SIMPLEX ASSET MANAGEMENT CO LTD,1185,43
2087,NORINCHUKIN ZENKYOREN AM CO LTD,2911,2
2089,NORINCHUKIN ZENKYOREN AM CO LTD,2631,590
2037,NOMURA EUROPE FINANCE N.V. NEXT,1124,39122
2090,NORINCHUKIN ZENKYOREN AM CO LTD,4502,100012
2092,NORINCHUKIN ZENKYOREN AM CO LTD,4687,3
2093,AMOVA ASSET MANAGEMENT CO LTD L,5298,10818
2085,MITSUBISHI UFJ ASSET MANAGEMENT,725,33180
2068,NOMURA EUROPE FINANCE N.V. NEXT,38950,3
2086,NORINCHUKIN ZENKYOREN AM CO LTD,2700,1112
2095,GLOBAL X JAPAN CO LTD S&P 500 D,1118,305
2096,GLOBAL X JAPAN CO LTD OFFICE J-,1112,63277
2097,GLOBAL X JAPAN CO LTD RESIDENTI,1089,30144
2098,GLOBAL X JAPAN CO LTD HOTEL & R,1023,40958
2108,NIPPON BEET SUGAR MANUFACTURING,4155,16100
2088,NORINCHUKIN ZENKYOREN AM CO LTD,2383,6121
2109,MITSUI DM SUGAR CO LTD,3380,51300
2060,FEED ONE CO LTD,1199,76600
2117,WELLNEO SUGAR CO LTD,2837,35100
2094,SIMPLEX ASSET MANAGEMENT CO LTD,739,22491
2120,LIFULL CO LTD,211,1649500
2121,MIXI. INC,2641,195600
2124,JAC RECRUITMENT CO LTD,872,433600
2122,INTERSPACE CO LTD,1328,19100
2127,NIHON M&A CENTER HOLDINGS INC,632.2,2799500
2134,KITAHAMA CAPITAL PARTNERS CO LT,32,4774900
2130,MEMBERS CO LTD,1076,81100
2136,HIP CORPORATION,1550,3100
2112,ENSUIKO SUGAR REFINING CO,549,101600
2138,CROOZ INC,557,13500
2146,UT GROUP CO LTD,195,4064000
2114,FUJI NIHON CORPORATION,654,13600
2139,CHUCO CO.LTD,514,6800
2152,YOUJI CORPORATION,1485,700
2153,E J HOLDINGS INC,1789,31800
2154,OPEN UP GROUP INC,1760,178200
2156,SAYLOR ADVERTISING INC.,310,2300
2091,NORINCHUKIN ZENKYOREN AM CO LTD,4617,102
2148,ITMEDIA INC.,1898,60000
2158,FRONTEO INC,820,375100
2162,NMS HOLDINGS CORPORATION,447,8700
2163,ARTNER CO LTD,1936,34700
2169,CDS CO LTD,1830,1700
2160,GNI GROUP LTD,3245,1300100
2164,CHIIKISHINBUNSHA CO LTD,308,7500
2170,LINK AND MOTIVATION INC,550,476000
2173,HAKUTEN CORPORATION,986,40700
2181,PERSOL HOLDINGS CO LTD,234,12225600
2179,SEIGAKUSHA CO LTD,815,2000
2180,SUNNY SIDE UP GROUP INC,958,19300
2157,KOSHIDAKA HOLDINGS CO LTD,1051,219200
2175,SMS CO LTD,1668,268600
2185,CMC CORPORATION,1877,2500
2195,AMITA HOLDINGS CO LTD,317,19800
2193,COOKPAD INC.,146,467300
2168,PASONA GROUP INC,1937,72100
2183,LINICAL CO LTD,313,10100
2204,NAKAMURAYA CO LTD,3365,22700
2207,MEITO CO LTD,2892,57200
2211,FUJIYA CO LTD,2417,42500
2209,IMURAYA GROUP CO LTD,2443,23700
2212,YAMAZAKI BAKING LTD,3167,420900
2215,FIRST BAKING CO,604,30500
2216,KANRO CO LTD,1224,162700
2217,MOROZOFF LIMITED,1472,74600
2221,IWATSUKA CONFECTIONERY CO,3310,1200
2196,ESCRIT INC,157,16100
2198,IKK HOLDINGS INC,800,33400
2224,COMO CO LTD,3780,2500
2226,KOIKE-YA INC,4660,800
2201,MORINAGA & CO,2666,339900
2208,BOURBON CORP,3225,7000
2229,CALBEE INC,3075,264800
2220,KAMEDA SEIKA CO,4275,32000
2235,AMOVA ASSET MANAGEMENT CO LTD L,3246,473
2236,GLOBAL X JAPAN CO LTD S&P 500 D,1401,5013
2237,DAIWA ASSET MANAGEMENT IFREE S&,96670,1908
2238,DAIWA ASSET MANAGEMENT IFREE S&,5980,3800
2186,SOBAL CORPORATION,900,1200
2241,MITSUBISHI UFJ ASSET MANAGEMENT,828.8,2590
2240,AMOVA ASSET MANAGEMENT CO LTD L,6070,64
2243,GLOBAL X JAPAN CO LTD GLOBAL X ,2920,62388
2244,GLOBAL X JAPAN CO LTD GLOBAL X ,2970,73331
2246,NOMURA ASSET MANAGEMENT CO LTD ,715.6,2250
2247,DAIWA ASSET MANAGEMENT IFREEETF,1987,226148
2248,DAIWA ASSET MANAGEMENT IFREEETF,2426,4474
2249,DAIWA ASSET MANAGEMENT IFREEETF,12440,11321
2239,AMOVA ASSET MANAGEMENT CO LTD L,21040,1577
2250,BLACKROCK JAPAN CO LTD ISHARES ,315,7340
2242,MITSUBISHI UFJ ASSET MANAGEMENT,608.5,7470
2206,EZAKI GLICO CO,6160,183000
2251,NOMURA ASSET MANAGEMENT CO LTD ,858,113050
2245,NOMURA ASSET MANAGEMENT CO LTD ,715.6,120
2254,GLOBAL X JAPAN CO LTD CHINA ELE,1298,27991
2253,GLOBAL X JAPAN CO LTD SUPERDIVI,1308,84691
2252,GLOBAL X JAPAN CO LTD MORNINGST,1290,184
2255,BLACKROCK JAPAN CO LTD ISHARES ,211.9,137880
2258,BLACKROCK JAPAN CO LTD ISHARES ,227.1,34140
2259,BLACKROCK JAPAN CO LTD ISHARES ,186.8,70
2264,MORINAGA MILK INDUSTRY CO,4648,268000
2266,ROKKO BUTTER CO,1143,32100
2222,KOTOBUKI SPIRITS,1918,545700
2268,BR 31 ICE CREAM CO.LTD,4020,2300
2267,YAKULT HONSHA CO,2576.5,889300
2269,MEIJI HOLDINGS CO LTD,4000,1500700
2256,BLACKROCK JAPAN CO LTD ISHARES ,225.6,64490
2257,BLACKROCK JAPAN CO LTD ISHARES ,226.4,3470
2281,PRIMA MEAT PACKERS,2730,71100
2282,NH FOODS LTD,6719,568300
2286,HAYASHIKANE SANGYO CO,969,411100
2291,FUKUTOME MEAT PACKERS,618,1300
2292,S FOODS INC,2938,70100
2293,TAKIZAWA HAM CO,3005,2000
2288,MARUDAI FOOD CO,2248,168900
2296,ITOHAM YONEKYU HOLDINGS INC,5930,173300
2300,KYOKUTO CO LTD,503,4000
2304,CSS HOLDINGS LTD,961,4400
2270,MEGMILK SNOW BRAND CO.LTD,3230,167000
2305,STUDIO ALICE,1963,24200
2307,CROSS CAT CO LTD,983,26100
2317,SYSTENA CORPORATION,424,901200
2294,KAKIYASU HONTEN,2833,33400
2301,GAKUJO CO LTD,1634,158700
2325,NJS CO. LTD,4620,20300
2303,DAWN CORP,2681,7200
2326,DIGITAL ARTS INC,5290,64500
2321,SOFTFRONT HOLDINGS,401,1083900
2331,ALSOK CO LTD,1220,983100
2327,NS SOLUTIONS CORPORATION,3729,226400
2332,QUEST CO LTD,1567,9200
2311,EPCO CO LTD,807,24600
2315,CAICA DIGITAL INC,86,1606400
2337,ICHIGO INC,484,885000
2335,CUBE SYSTEM INC,1045,13600
2323,FONFUN CORPORATION,341,54600
2338,QUANTUM SOLUTIONS CO LTD,187,4679300
2330,FORSIDE CO LTD,117,165600
2340,GOKURAKUYU HOLDINGSCO LTD,486,34900
2341,ARBEIT-TIMES CO LTD,187,10000
2345,HODL1 INC,230,212000
2344,HEIAN CEREMONY SERVICE CO,1479,19000
2353,NIPPON PARKING DEVELOPMENT CO.L,267,1262300
2351,ASJ INC,372,9100
2374,SAINT-CARE HOLDING CORPORATION,1212,15900
2373,CARE TWENTYONE CORP,434,36400
2359,CORE CORPORATION,2184,29200
2370,MEDINET CO LTD,30,4682600
2342,TRANSGENIC GROUP INC,279,91300
2376,SCINEX CORPORATION,728,200
2349,NIPPON INFORMATION DEVELOPMENT ,2458,200
